strata,description,land size,year,land,building,total value
1,storage,8712,1974,2612000,2679000,5291000
1,residential,9705,,1566000,0,1566000
1,residential,7903,,152000,0,152000
1,residential,7412,1992,785000,427000,1212000
1,residential,6680,1992,830000,501000,1331000
1,residential,9540,1992,938000,504000,1442000
1,residential,10610,1992,973000,457000,1430000
1,residential,8459,1992,900000,483000,1383000
1,residential,5415,1992,772000,411000,1183000
1,residential,5389,1993,771000,469000,1240000
1,residential,5405,1992,772000,476000,1248000
1,residential,5097,1992,756000,404000,1160000
1,residential,5163,1992,759000,492000,1251000
1,residential,5354,1992,769000,450000,1219000
1,residential,5482,1992,776000,471000,1247000
1,residential,5824,1991,1331000,478000,1809000
1,residential,6153,1991,806000,423000,1229000
1,residential,7778,1992,874000,404000,1278000
1,residential,8027,1991,883000,458000,1341000
1,residential,8570,1992,904000,429000,1333000
1,residential,6665,1996,829000,588000,1417000
1,residential,6115,1995,804000,585000,1389000
1,residential,6269,1996,812000,586000,1398000
1,residential,6026,1995,800000,580000,1380000
1,residential,6028,1996,800000,534000,1334000
1,residential,6037,1994,801000,478000,1279000
1,residential,6505,1994,822000,800000,1622000
1,residential,6961,1992,841000,426000,1267000
1,residential,5946,1991,796000,423000,1219000
1,residential,5800,1991,790000,351000,1141000
1,residential,5373,1991,770000,398000,1168000
1,residential,5720,1992,787000,476000,1263000
1,residential,6219,1991,809000,388000,1197000
1,residential,7611,2019,868000,20900,888900
1,residential,7554,1992,866000,421999,1287999
1,residential,7512,1991,864000,400000,1264000
1,residential,5558,1991,779000,469000,1248000
1,residential,6561,1991,825000,717000,1542000
1,residential,5837,1991,792000,376000,1168000
1,residential,5802,1991,790000,469000,1259000
1,school,4.71acres,1971,2929000,887000,3816000
1,residential,6240,1989,819000,175000,994000
1,residential,6366,1990,825000,178000,1003000
1,residential,6037,1992,809000,248000,1057000
1,residential,6726,1988,841000,182000,1023000
1,residential,6415,1989,815000,216000,1031000
1,residential,6346,1988,824000,274000,1098000
1,residential,5926,1992,780000,206000,986000
1,residential,6001,1989,807000,192000,999000
1,residential,6087,1992,812000,263000,1075000
2,unclassified,359.8 Acres,,188495700,26480000,214975700
2,,2.15 Acres,,1837000,0,1837000
2,residential,5 Acres ,1944,1710000,51200,1761200
2,residential,21 Acres,2002,4420000,283000,4703000
2,residential,1.32 Acres ,1988,895000,22400,917400
2,residential,7873,1915,2034000,9500,2043500
2,residential,12336,2005,2939000,1942000,4881000
2,residential,9037,1967,918000,137000,1055000
2,,15014,,93100,0,93100
2,residential,18687,1935,854000,12900,866900
2,residential,16056,1972,1406000,192000,1598000
2,residential,10363,1936,1363000,470000,1833000
2,residential,14983,1967,1199000,149000,1348000
2,,15000,,291000,0,291000
2,,19184,,862000,0,862000
2,,24964,,944000,0,944000
2,,12417,,272000,0,272000
2,residential,19513,1969,1313000,78300,1391300
2,church,7017,1955,922000,40400,962400
2,residential,10363,1936,1363000,470000,1833000
2,residential,16056,,1406000,192000,1598000
2,residential,18687,,854000,12900,866900
2,residential,9037,1967,918000,137000,1055000
2,residential,9365,2005,2505000,294000,2799000
2,residential,8341,2009,2543000,890000,3433000
2,,12000,,978000,0,978000
2,,7304,,524000,0,524000
